index	H0_lnL	H0_omega	H2_lnL	H2_omega1	H2_omega2
2550	-1094.953595	0.41744	-1094.946682	0.40457	0.42482
2580	-1143.618948	0.39627	-1143.501765	0.34820	0.42377
2610	-1187.220800	0.39670	-1187.090074	0.34677	0.42478
2640	-1194.730662	0.36017	-1194.687064	0.33328	0.37459
2670	-1225.969542	0.34354	-1225.960493	0.35549	0.33738
2700	-1281.035458	0.30471	-1280.682576	0.24718	0.33898
2730	-1310.977102	0.27690	-1310.306822	0.20940	0.32133
2760	-1301.250168	0.26737	-1301.001298	0.22557	0.29299
2790	-1317.490846	0.27578	-1317.398718	0.24806	0.29109
2820	-1340.957304	0.23896	-1340.720206	0.20210	0.26066
2850	-1308.269051	0.24046	-1307.849939	0.19328	0.27143
2880	-1301.375782	0.24172	-1300.918916	0.19210	0.27458
2910	-1275.749925	0.21392	-1275.546763	0.18258	0.23299
2940	-1281.451500	0.18937	-1281.236656	0.16066	0.20663
2970	-1233.830133	0.19040	-1232.844451	0.13242	0.23094
3000	-1231.776507	0.18817	-1231.371766	0.14982	0.21350
3030	-1221.606711	0.17711	-1221.506793	0.15756	0.18853
3060	-1234.165584	0.15543	-1233.952723	0.13052	0.17013
3090	-1196.800187	0.14296	-1196.007653	0.10200	0.17304
3120	-1172.621905	0.16857	-1172.199911	0.13384	0.19558
3150	-1195.229593	0.18706	-1194.942452	0.15472	0.21070
3180	-1202.996905	0.19641	-1202.480833	0.15291	0.23037
3210	-1221.924601	0.19070	-1221.033318	0.13778	0.23436
3240	-1240.582506	0.20014	-1239.894693	0.14874	0.23730
3270	-1329.703605	0.22717	-1328.436714	0.14956	0.27648
3300	-1317.594297	0.23178	-1316.368511	0.15324	0.28157
3330	-1317.387882	0.27068	-1316.339655	0.18573	0.32528
3360	-1311.844329	0.31739	-1310.536353	0.20680	0.38959
3390	-1353.856433	0.29299	-1352.585809	0.19508	0.35864
3420	-1332.504480	0.31378	-1329.975742	0.17719	0.42394
3450	-1349.825459	0.30855	-1344.978351	0.14394	0.47588
3480	-1380.540484	0.32801	-1375.824489	0.15859	0.50079
3510	-1442.839344	0.31545	-1438.931848	0.16245	0.44005
3540	-1446.577020	0.28363	-1442.051281	0.13719	0.40005
3570	-1469.495820	0.26856	-1464.407212	0.12062	0.38103
3600	-1468.564622	0.23430	-1463.260190	0.10048	0.33244
3630	-1462.616204	0.22086	-1457.913896	0.10079	0.31711
